beta,B,Df,phi,gamma,P,C,Q_ult
20,0.5,0.5,25,19,75,7.5,74.149
20,0.5,0.5,25,19,100,7.5,94.654
20,1,0.5,25,19,50,7.5,163.575
20,1,1,25,19,50,7.5,208.535
20,1,0.5,25,19,75,7.5,157.982
20,1,1,25,19,75,7.5,208.633
20,1,0.5,25,19,100,7.5,163.93
20,1,1,25,19,100,7.5,208.717
20,1.5,0.5,25,19,50,7.5,261.111
20,1.5,1,25,19,50,7.5,361.568
20,1.5,1.5,25,19,50,7.5,446.926
20,1.5,0.5,25,19,75,7.5,261.465
20,1.5,1,25,19,75,7.5,362.287
20,1.5,1.5,25,19,75,7.5,446.85
20,1.5,0.5,25,19,100,7.5,261.95
20,1.5,1,25,19,100,7.5,362.381
20,1.5,1.5,25,19,100,7.5,447.28
20,2,0.5,25,19,50,7.5,484.613
20,2,1,25,19,50,7.5,600.805
20,2,1.5,25,19,50,7.5,699.414
20,2,2,25,19,50,7.5,836.652
20,2,0.5,25,19,75,7.5,484.763
20,2,1,25,19,75,7.5,601.295
20,2,1.5,25,19,75,7.5,702.727
20,2,2,25,19,75,7.5,837.21
20,2,0.5,25,19,100,7.5,484.831
20,2,1,25,19,100,7.5,599.453
20,2,1.5,25,19,100,7.5,704.422
20,2,2,25,19,100,7.5,837.51
20,0.5,0.5,10,21,50,7.5,44.605
20,0.5,0.5,10,21,75,7.5,64.559
20,0.5,0.5,10,21,100,7.5,86.078
20,1,0.5,10,21,50,7.5,49.803
20,1,1,10,21,50,7.5,51.723
20,1,0.5,10,21,75,7.5,64.559
20,1,1,10,21,75,7.5,69.101
20,1,0.5,10,21,100,7.5,86.078
20,1,1,10,21,100,7.5,86.078
20,1.5,0.5,10,21,50,7.5,51.995
20,1.5,1,10,21,50,7.5,53.117
20,1.5,1.5,10,21,50,7.5,53.695
20,1.5,0.5,10,21,75,7.5,68.912
20,1.5,1,10,21,75,7.5,72.694
20,1.5,1.5,10,21,75,7.5,75.496
20,1.5,0.5,10,21,100,7.5,90.078
20,1.5,1,10,21,100,7.5,90.86
20,1.5,1.5,10,21,100,7.5,94.288
20,2,0.5,10,21,50,7.5,95.54
20,2,1,10,21,50,7.5,118.053
20,2,1.5,10,21,50,7.5,131.496
20,2,2,10,21,50,7.5,183.993
20,2,0.5,10,21,75,7.5,96.676
20,2,1,10,21,75,7.5,118.235
20,2,1.5,10,21,75,7.5,131.578
20,2,2,10,21,75,7.5,185.453
20,2,0.5,10,21,100,7.5,96.998
20,2,1,10,21,100,7.5,118.455
20,2,1.5,10,21,100,7.5,133.122
20,2,2,10,21,100,7.5,198.256
